 Congressional District, State House District, State Senate District,ATF/LE Confiscation/Raid/Arrest,Accidental Shooting,Accidental Shooting - Death,Accidental Shooting - Injury,Accidental Shooting at a Business,Accidental/Negligent Discharge,Armed robbery with injury/death and/or evidence of DGU found,"Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",Attempted Murder/Suicide (one variable unsuccessful),BB/Pellet/Replica gun,Bar/club incident - in or around establishment,Brandishing/flourishing/open carry/lost/found,Car-jacking,Child Involved Incident,Child injured (not child shooter),Child injured by child,Child injured self,Child killed (not child shooter),Child killed by child,Child killed self,Child picked up & fired gun,Cleaning gun,Concealed Carry License - Perpetrator,Concealed Carry License - Victim,Congressional District,Criminal act with stolen gun,Defensive Use,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",Defensive Use - Good Samaritan/Third Party,"Defensive Use - Shots fired, no injury/death",Defensive Use - Stand Your Ground/Castle Doctrine established,Defensive Use - Victim stops crime,Defensive Use - WITHOUT a gun,Domestic Violence,"Drive-by (car to street, car to car)",Drug involvement,Gang involvement,Ghost gun,"Gun at school, no death/injury - elementary/secondary school",Gun range/gun shop/gun show shooting,Gun shop robbery or burglary,Gun(s) stolen from owner,Guns stolen from law enforcement,Hate crime,Home Invasion,Home Invasion - Resident injured,Home Invasion - Resident killed,Home Invasion - subject/suspect/perpetrator injured,Home Invasion - subject/suspect/perpetrator killed,House party / Block Party / Park Party,Hunting accident,Incident ID,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,Latitude,Longitude,"Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)","Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","Mistaken ID (thought it was an intruder/threat, was friend/family)",Murder/Suicide,Non-Shooting Incident,Officer Involved Incident,Officer Involved Incident - Weapon involved but no shots fired,Officer Involved Shooting - Accidental discharge - no injury required,Officer Involved Shooting - Bystander killed,Officer Involved Shooting - Bystander shot,Officer Involved Shooting - K9/Mounted injured,Officer Involved Shooting - Officer killed,Officer Involved Shooting - Officer shot,"Officer Involved Shooting - Shots fired, no injury",Officer Involved Shooting - subject/suspect/perpetrator killed,Officer Involved Shooting - subject/suspect/perpetrator shot,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,Playing with gun,Police Targeted,Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person,Road rage,School Incident,School Shooting - elementary/secondary school,School Shooting - university/college,Self-Inflicted (not suicide or suicide attempt - NO PERP),Sex crime involving firearm,Shootout (where VENN diagram of shooters and victims overlap),"Shot - Dead (murder, accidental, suicide)",Shot - Wounded/Injured,"Spree Shooting (multiple victims, multiple locations)",State House District,State Senate District,Stolen/Illegally owned gun{s} recovered during arrest/warrant,Stray bullet,Suicide - Attempt,Suicide^,Terrorism Involvement,Thought gun was unloaded,Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator ),Unlawful purchase/sale,Workplace shooting (disgruntled employee)
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1446941.0,,, 32.2584,-86.3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 78, 26,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1446431.0,,, 35.4641,-97.3886,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,, 95, 42,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1447070.0,,, 33.7421,-116.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 42, 23,,,,,,,,,
,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1445174.0,,, 38.2456,-85.7914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 41, 33,,1.0,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1443639.0,,, 36.7702,-119.73200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 31, 8,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1441642.0,,, 42.402,-83.1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 7, 3,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,29.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1440265.0,,, 29.9436,-95.4038,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,, 141, 6,,,,,,,,,
,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1439208.0,,, 32.7206,-97.2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 90, 10,,1.0,,,,,,,
,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1439489.0,,, 42.32,-71.0711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 188, 2,,1.0,,,,,,,
,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1439723.0,,, 27.7353,-82.6324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 70, 19,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1443335.0,,, 35.5875,-77.2658,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,, 9, 5,,,,,,,,,
,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1441980.0,,, 28.7937,-96.9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 30, 18,,1.0,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1438703.0,,, 29.9511,-90.0715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 93, 5,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1438998.0,,, 30.035,-89.9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 100, 3,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,26.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1438133.0,,, 34.1501,-119.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 44, 19,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1436811.0,,, 41.4561,-81.5477,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,, 12, 25,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1436805.0,,, 32.5804,-83.65299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 147, 20,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1436964.0,,, 43.1656,-77.5805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 137, 55,,,,,,,,,
,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1436286.0,,, 33.7184,-84.2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,, 84, 10,,1.0,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,98.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1435408.0,,, 38.8273,-76.9948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,, 8,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1435360.0,,, 31.9107,-110.98299999999999,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,, 2, 2,,,,,,,,,
,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1436464.0,,, 32.334,-95.3129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 6, 1,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1436046.0,,, 41.3275,-72.9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 94, 10,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1435050.0,,, 39.8082,-86.1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 99, 33,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1433132.0,,, 32.7473,-97.2841,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,, 95, 9,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1433942.0,,, 36.1902,-86.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 58, 19,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1432181.0,,, 35.1803,-90.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 90, 30,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1432147.0,,, 37.6355,-84.7701,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,, 54, 15,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1430514.0,,, 30.4459,-81.6902,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,, 14, 6,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1430620.0,,, 29.6455,-95.3511,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,, 146, 13,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1429521.0,,, 36.7586,-119.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 31, 14,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429551.0,,, 32.0269,-106.35700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 53, 34,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1429325.0,,, 32.5641,-84.9332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,, 134, 29,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1429333.0,,, 34.5127,-82.6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 6, 4,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1429563.0,,, 37.7756,-122.241,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,, 18, 9,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1429688.0,,, 42.9391,-85.6447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 76, 29,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1429399.0,,, 37.0408,-76.3039,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 92, 2,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1429327.0,,, 32.4511,-80.7563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 121, 45,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1428871.0,,, 39.7778,-94.8416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 10, 34,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,13.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1428774.0,,, 42.368,-83.1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 9, 3,,,,,,,,,
,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1426953.0,,, 40.6699,-73.9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 56, 20,,1.0,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1427641.0,,, 29.4178,-98.5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 125, 26,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1427304.0,,, 28.0996,-97.8336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 43, 21,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,8.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1423678.0,,, 35.5537,-89.6486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 81, 32,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1423152.0,,, 34.2023,-92.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 16, 25,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1422938.0,,, 28.5913,-81.2831,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 49, 13,,,,1.0,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,19.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1424504.0,,, 32.2312,-101.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 72, 31,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1421801.0,,, 41.9705,-87.7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 15, 8,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1422332.0,,, 38.627,-90.1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 78, 5,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1420662.0,,, 32.4593,-84.8898,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,, 137, 15,,,,,,,,,
,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1420257.0,,, 37.2876,-79.9948,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,, 11, 21,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1418610.0,,, 38.5731,-90.2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 81, 5,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1418600.0,,, 39.0688,-94.5793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,, 24, 7,,,,,,,,,
,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1417887.0,,, 29.95,-90.0989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 91, 5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1419438.0,,, 42.2925,-89.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 67, 34,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1417476.0,,, 41.6462,-87.4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 2, 2,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1416203.0,,, 35.4591,-97.73899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 43, 45,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1416108.0,,, 43.079,-87.9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 10, 4,,,,,,,,,
,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1414685.0,,, 40.8062,-73.9183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 84, 29,,1.0,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1415399.0,,, 38.4407,-122.735,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 10, 2,,,,,,,,,
,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1416334.0,,, 29.6787,-95.3538,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,, 146, 13,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1415001.0,,, 35.068,-85.2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 28, 10,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1413227.0,,, 39.7911,-84.2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 39, 5,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1412584.0,,, 39.0874,-94.6382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 32, 6,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1412201.0,,, 30.3883,-95.6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 3, 4,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1411228.0,,, 38.6377,-90.1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 78, 5,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1409826.0,,, 35.1987,-90.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,, 88, 30,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1409904.0,,, 30.4457,-91.1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 67, 14,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1409636.0,,, 41.5323,-93.5483,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,, 33, 17,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1407934.0,,, 38.7795,-90.2024,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,, 66, 13,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1408472.0,,, 35.9852,-83.8881,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,, 15, 6,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,9.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1407062.0,,, 47.5287,-122.26299999999999,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,, 37, 37,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1407625.0,,, 47.477,-122.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 11, 11,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1405445.0,,, 38.8393,-76.9941,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,, 8,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1498914.0,,, 43.3253,-88.2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 58, 20,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1420995.0,,, 31.7093,-98.9912,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,, 60, 24,,,,,,,,,
,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1405954.0,,, 37.5149,-77.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,, 69, 16,,1.0,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1403179.0,,, 36.0383,-79.8045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 58, 28,,,,,,,,,
,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1400914.0,,, 33.6596,-89.1636,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,, 23, 15,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1400203.0,,, 32.4671,-92.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 17, 34,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1399940.0,,, 41.8156,-87.6932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 21, 11,,,,,,,,,
,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1399535.0,,, 30.5118,-91.1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,, 29, 15,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1398885.0,,, 34.768,-86.6258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 53, 7,,,,,,,,,
,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1399528.0,,, 33.7979,-112.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 15, 15,,,,,,,,,
,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1399035.0,,, 42.2686,-83.5862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 54, 18,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1398984.0,,, 40.0271,-82.9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 25, 15,,,,,,,,,
,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1398876.0,,, 38.4913,-121.428,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 9, 6,,1.0,,,,,,,
,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1397608.0,,, 43.0788,-87.9168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 10, 4,,,,,,,,,
