 Congressional District, State House District, State Senate District,ATF/LE Confiscation/Raid/Arrest,Accidental Shooting,Accidental Shooting - Death,Accidental Shooting - Injury,Accidental Shooting at a Business,Accidental/Negligent Discharge,Armed robbery with injury/death and/or evidence of DGU found,"Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",Attempted Murder/Suicide (one variable unsuccessful),BB/Pellet/Replica gun,Bar/club incident - in or around establishment,Brandishing/flourishing/open carry/lost/found,Car-jacking,Child Involved Incident,Child injured (not child shooter),Child injured by child,Child injured self,Child killed (not child shooter),Child killed by child,Child killed self,Child picked up & fired gun,Cleaning gun,Concealed Carry License - Perpetrator,Concealed Carry License - Victim,Congressional District,Criminal act with stolen gun,Defensive Use,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",Defensive Use - Good Samaritan/Third Party,"Defensive Use - Shots fired, no injury/death",Defensive Use - Stand Your Ground/Castle Doctrine established,Defensive Use - Victim stops crime,Defensive Use - WITHOUT a gun,Domestic Violence,"Drive-by (car to street, car to car)",Drug involvement,Gang involvement,Ghost gun,"Gun at school, no death/injury - elementary/secondary school",Gun range/gun shop/gun show shooting,Gun shop robbery or burglary,Gun(s) stolen from owner,Guns stolen from law enforcement,Hate crime,Home Invasion,Home Invasion - Resident injured,Home Invasion - Resident killed,Home Invasion - subject/suspect/perpetrator injured,Home Invasion - subject/suspect/perpetrator killed,House party / Block Party / Park Party,Hunting accident,Incident ID,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,Latitude,Longitude,"Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)","Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","Mistaken ID (thought it was an intruder/threat, was friend/family)",Murder/Suicide,Non-Shooting Incident,Officer Involved Incident,Officer Involved Incident - Weapon involved but no shots fired,Officer Involved Shooting - Accidental discharge - no injury required,Officer Involved Shooting - Bystander killed,Officer Involved Shooting - Bystander shot,Officer Involved Shooting - K9/Mounted injured,Officer Involved Shooting - Officer killed,Officer Involved Shooting - Officer shot,"Officer Involved Shooting - Shots fired, no injury",Officer Involved Shooting - subject/suspect/perpetrator killed,Officer Involved Shooting - subject/suspect/perpetrator shot,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,Playing with gun,Police Targeted,Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person,Road rage,School Incident,School Shooting - elementary/secondary school,School Shooting - university/college,Self-Inflicted (not suicide or suicide attempt - NO PERP),Sex crime involving firearm,Shootout (where VENN diagram of shooters and victims overlap),"Shot - Dead (murder, accidental, suicide)",Shot - Wounded/Injured,"Spree Shooting (multiple victims, multiple locations)",State House District,State Senate District,Stolen/Illegally owned gun{s} recovered during arrest/warrant,Stray bullet,Suicide - Attempt,Suicide^,Terrorism Involvement,Thought gun was unloaded,Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator ),Unlawful purchase/sale,Workplace shooting (disgruntled employee)
,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,266407.0,,, 42.2938,-89.1072,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,, 67, 34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,264901.0,,, 40.6684,-74.2032,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 20, 20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,263556.0,,, 40.2459,-75.282,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0, 53, 24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,263376.0,,, 25.7874,-80.1991,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 109, 39,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,263382.0,,, 28.0323,-82.4531,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 61, 19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,262202.0,,, 45.562,-122.67399999999999,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,, 43, 22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,259935.0,,, 41.5906,-86.1815,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,, 7, 9,,,,,,,,,
,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,227011.0,,, 38.5616,-90.2492,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 81, 5,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226983.0,,, 37.0233,-76.4461,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 95, 1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,226388.0,,, 40.657,-73.9242,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 58, 20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226534.0,,, 35.0246,-85.2711,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 28, 10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,225903.0,,, 33.71,-84.3798,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 59, 36,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226150.0,,, 40.7401,-74.2005,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 29, 29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,476321.0,,, 29.9304,-90.0959,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 91, 5,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,473882.0,,, 35.6486,-88.8176,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 80, 27,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,472268.0,,, 40.014,-75.1215,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,471867.0,,, 30.3329,-81.6394,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 13, 9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,471860.0,,, 30.6714,-88.2254,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 100, 34,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,469468.0,,, 37.7096,-122.135,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 18, 10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,469614.0,,, 25.9278,-80.1862,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 107, 35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,468968.0,,, 34.2289,-77.9346,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 18, 8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,468787.0,,, 25.5658,-80.3866,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 117, 39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,464665.0,,, 33.9879,-118.28200000000001,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 59, 30,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,464945.0,,, 33.7116,-117.991,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 72, 34,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,465117.0,,, 38.6573,-90.1684,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,, 113, 57,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,464002.0,,, 32.0668,-81.0977,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 163, 2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,463642.0,,, 39.3483,-76.6751,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 41, 41,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,463734.0,,, 40.4159,-79.9875,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,461476.0,,, 39.1497,-84.5615,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,, 32, 9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,460049.0,,, 29.7193,-90.6093,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,, 55, 19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,460386.0,,, 41.3138,-96.0814,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,, 18,,,,,,,,,
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,456893.0,,, 34.0756,-117.27799999999999,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,457037.0,,, 32.0607,-81.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 163, 2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,455394.0,,, 41.1193,-87.8576,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 79, 40,,,,,,,,,
