Incident ID,Stolen,Type,index
1477014, Unknown, Unknown,0.0
1476322, Unknown, Unknown,0.0
1477629, Unknown, Handgun,0.0
1474760, Unknown, Unknown,0.0
1466848, Unknown, Unknown,0.0
1465898, Unknown, Unknown,0.0
1465536, Unknown, 357 Mag,0.0
1464941, Unknown, Rifle,0.0
1462854, Unknown, Unknown,0.0
1461837, Unknown, Unknown,0.0
1460448, Unknown, 7.62 [AK-47],0.0
1461352, Unknown, Unknown,0.0
1461110, Unknown, Unknown,0.0
1457725, Unknown, Unknown,0.0
1452782, Unknown, Unknown,0.0
1452378, Unknown, Unknown,0.0
1451573, Unknown, 9mm,0.0
1450611, Unknown, 22 LR,0.0
1446631, Unknown, Unknown,0.0
1442623, Unknown, Unknown,0.0
1441026, Unknown, 38 Spl,0.0
1438084, Unknown, Unknown,0.0
1437767, Unknown, Unknown,0.0
1437037, Unknown, Unknown,0.0
1434639, Unknown, Unknown,0.0
1433062, Unknown, Unknown,0.0
1430164, Unknown, Unknown,0.0
1429887, Unknown, Unknown,0.0
1429333, Unknown, Unknown,0.0
1429406, Unknown, Unknown,0.0
1428280, Unknown, Unknown,0.0
1427218, Unknown, Unknown,0.0
1429770, Unknown, Unknown,0.0
1424941, Unknown, Unknown,0.0
1424395, Unknown, Unknown,0.0
1428080, Unknown, Unknown,0.0
1423015, Unknown, Unknown,0.0
1420962, Unknown, 7.62 [AK-47],0.0
1421241, Stolen, Handgun,0.0
1419431, Unknown, Unknown,0.0
1418854, Unknown, Unknown,0.0
1419519, Unknown, Unknown,0.0
1418610, Unknown, Unknown,0.0
1418340, Unknown, Rifle,0.0
1418818, Unknown, Unknown,0.0
1415239, Unknown, Unknown,0.0
1416009, Unknown, Unknown,0.0
1412997, Unknown, Unknown,0.0
1408655, Unknown, Unknown,0.0
1517831, Unknown, 380 Auto,0.0
1405954, Unknown, Unknown,0.0
1405012, Unknown, Unknown,0.0
1403376, Unknown, Unknown,0.0
1398159, Unknown, Unknown,0.0
1398823, Unknown, Unknown,0.0
